Title:   The MACHO Project LMC Variable Star Inventory. XII. 
Three Cepheid Variables in Eclipsing Binaries
Authors: The MACHO Collaboration 
===========================================================
Byte-by-byte Description of file: tab1.txt
-----------------------------------------------------------
   Bytes Format Units   Label     Explanations
-----------------------------------------------------------
   1- 13  F13.5  days    HJD	  Heliocentric Julian Date
  15- 21  F7.4   mag     Vmag     V magnitude
  23- 28  F6.1   mag     e_Vmag   error in V magnitude
  31- 34  A5     ---     Source   Source of obervation
-----------------------------------------------------------
2450125.07230 14.6620 0.0150 MACHO
2450127.06540 14.6660 0.0150 MACHO
2450128.06750 14.6010 0.0150 MACHO
2450129.07780 14.6190 0.0150 MACHO
2450132.05120 14.6710 0.0150 MACHO
2450132.99820 14.5940 0.0150 MACHO
2450134.96500 14.6520 0.0150 MACHO
2450136.04680 14.6850 0.0150 MACHO
2450139.12200 14.6370 0.0150 MACHO
2450141.99160 14.6680 0.0150 MACHO
2450146.01590 14.6840 0.0150 MACHO
2450152.00770 14.6650 0.0150 MACHO
2450154.21800 14.6430 0.0150 MACHO
2450156.06240 14.6850 0.0150 MACHO
2450158.02110 14.5990 0.0150 MACHO
2450160.04830 14.6560 0.0150 MACHO
2450162.07600 14.6630 0.0150 MACHO
2450164.19000 14.6440 0.0150 MACHO
2450169.14630 14.6380 0.0150 MACHO
2450173.04100 14.6130 0.0150 MACHO
2450174.10690 14.6280 0.0160 MACHO
2450175.00310 14.6800 0.0150 MACHO
2450178.96920 14.6310 0.0150 MACHO
2450181.99910 14.6590 0.0150 MACHO
2450185.95290 14.6760 0.0150 MACHO
2450187.05230 14.6020 0.0170 MACHO
2450188.94850 14.6320 0.0150 MACHO
2450192.92730 14.6040 0.0150 MACHO
2450194.03160 14.6220 0.0150 MACHO
2450196.99340 14.6460 0.0150 MACHO
2450198.04140 14.6080 0.0150 MACHO
2450199.07430 14.6400 0.0150 MACHO
2450199.95420 14.6780 0.0150 MACHO
2450200.95270 14.6960 0.0150 MACHO
2450201.96360 14.6370 0.0150 MACHO
2450206.93220 14.6270 0.0150 MACHO
2450212.91640 14.6170 0.0150 MACHO
2450214.94080 14.6710 0.0160 MACHO
2450216.05240 14.6920 0.0150 MACHO
2450218.04440 14.6150 0.0150 MACHO
2450218.88250 14.6320 0.0150 MACHO
2450219.91920 14.6700 0.0150 MACHO
2450220.97770 14.6780 0.0150 MACHO
2450223.97480 14.6420 0.0150 MACHO
2450224.91820 14.6780 0.0150 MACHO
2450227.88600 14.6090 0.0150 MACHO
2450228.98500 14.6340 0.0150 MACHO
2450234.89560 14.6850 0.0150 MACHO
2450236.89830 14.6280 0.0150 MACHO
2450238.97240 14.6340 0.0150 MACHO
2450241.94730 14.6110 0.0150 MACHO
2450243.88540 14.6420 0.0150 MACHO
2450245.87760 14.6860 0.0150 MACHO
2450247.89110 14.6130 0.0150 MACHO
2450254.88070 14.6710 0.0150 MACHO
2450255.87490 14.6810 0.0150 MACHO
2450258.91960 14.6330 0.0150 MACHO
2450264.29000 14.6670 0.0150 MACHO
2450267.88600 14.6540 0.0150 MACHO
2450272.26760 14.6680 0.0150 MACHO
2450277.26970 14.6050 0.0150 MACHO
2450279.21450 14.6630 0.0150 MACHO
2450289.29570 14.6650 0.0150 MACHO
2450294.26410 14.6580 0.0150 MACHO
2450297.27040 14.5910 0.0160 MACHO
2450298.31840 14.6270 0.0150 MACHO
2450301.16900 14.6890 0.0160 MACHO
2450302.32400 14.5950 0.0150 MACHO
2450303.17740 14.6240 0.0150 MACHO
2450304.32830 14.6670 0.0150 MACHO
2450305.22320 14.6880 0.0150 MACHO
2450307.30720 14.6060 0.0150 MACHO
2450308.15820 14.6390 0.0150 MACHO
2450311.27940 14.6620 0.0150 MACHO
2450312.23490 14.6100 0.0150 MACHO
2450314.27620 14.6610 0.0150 MACHO
